Date,Open,High,Low,Close,Volume,bb_high,bb_low,Signal
2019-09-23,9930.13,9930.13,9930.13,9930.13,0.001,,,HOLD
2019-09-24,9637.93,9665.05,7996.45,8519.67,202.350799,,,HOLD
2019-09-25,8528.12,8724.77,8247.78,8435.28,55.417971,,,HOLD
2019-09-26,8434.45,8453.2,7761.87,8064.41,41.880079,,,HOLD
2019-09-27,8078.75,8259.96,7858.58,8178.73,47.142904,,,HOLD
2019-09-28,8199.4,8320.51,8020.0,8208.07,21.24093,,,HOLD
2019-09-29,8210.66,8220.38,7916.9,8047.12,61.639171,,,HOLD
2019-09-30,8058.25,8322.99,7744.23,8292.35,112.009925,,,HOLD
2019-10-01,8281.4,8498.23,8180.16,8295.63,49.861058,,,HOLD
2019-10-02,8305.0,8367.97,8154.37,8363.74,31.814659,,,HOLD
2019-10-03,8369.31,8386.65,8078.48,8222.19,40.654746,,,HOLD
2019-10-04,8227.57,8232.85,8005.25,8144.09,39.38286,,,HOLD
2019-10-05,8134.38,8179.58,8015.49,8128.65,25.41557,,,HOLD
2019-10-06,8128.65,8148.88,7801.0,7866.87,75.425625,,,HOLD
2019-10-07,7860.25,8289.0,7772.14,8191.94,78.870991,,,HOLD
2019-10-08,8205.09,8322.42,8110.4,8180.7,39.129437,,,HOLD
2019-10-09,8178.47,8662.01,8118.67,8570.8,96.568413,,,HOLD
2019-10-10,8565.75,8640.58,8439.36,8559.93,32.783931,,,HOLD
2019-10-11,8560.99,8772.46,8229.29,8266.17,139.985707,,,HOLD
2019-10-12,8255.24,8394.78,8251.15,8299.85,32.490636,9145.352666810128,7531.279333189873,HOLD
2019-10-13,8294.16,8448.7,8166.51,8276.97,55.029713,8599.106840359085,7912.209159640915,HOLD
2019-10-14,8273.46,8371.24,8213.4,8349.0,69.948401,8571.882720864387,7922.366279135617,HOLD
2019-10-15,8349.91,8400.92,8118.69,8163.48,99.706251,8548.253313640049,7918.815686359951,HOLD
2019-10-16,8162.08,8179.74,7922.44,7995.35,75.488533,8553.540911257425,7906.622088742575,HOLD
2019-10-17,7995.35,8122.45,7932.65,8073.01,93.712189,8554.827497629018,7894.763502370983,HOLD
2019-10-18,8070.24,8115.37,7825.0,7946.04,78.638399,8563.43182784341,7859.956172156591,HOLD
2019-10-19,7947.23,8080.03,7879.66,7956.07,76.470455,8569.478917459195,7844.804082540804,HOLD
2019-10-20,7952.67,8288.14,7875.62,8220.22,131.607879,8563.838328405385,7843.2316715946135,HOLD
2019-10-21,8222.0,8324.66,8150.01,8200.03,119.36608,8556.572347343586,7840.9376526564165,HOLD
2019-10-22,8196.41,8294.04,8000.72,8017.72,142.976904,8539.150351471468,7823.757648528533,HOLD
2019-10-23,8015.96,8044.28,7310.24,7466.85,273.918751,8617.016891010486,7670.357108989513,BUY
2019-10-24,7466.85,7492.37,7341.62,7415.47,225.298306,8677.161502707246,7537.350497292753,BUY
2019-10-25,7415.47,8776.6,7377.73,8653.66,382.335815,8751.289514181355,7515.723485818647,HOLD
2019-10-26,8655.5,10352.43,8637.01,9231.81,650.191206,8969.907359308798,7433.599640691204,SELL
2019-10-27,9232.69,9787.69,9077.85,9530.88,429.573986,9230.692671474902,7306.708328525098,SELL
2019-10-28,9528.62,9901.97,9182.33,9198.09,343.196832,9361.818657854736,7277.321342145264,HOLD
2019-10-29,9202.96,9533.79,9094.14,9408.43,280.989401,9503.277205600902,7219.625794399097,HOLD
2019-10-30,9407.96,9407.96,9004.51,9154.99,195.557213,9582.12301322372,7200.285986776279,HOLD
2019-10-31,9168.24,9400.0,8950.81,9142.65,181.578946,9668.078408110372,7201.978591889629,HOLD
2019-11-01,9141.77,9270.25,9041.97,9230.4,97.201588,9760.079117544614,7203.032882455388,HOLD
2019-11-02,9237.7,9366.42,9191.84,9288.85,66.076289,9853.647629570327,7210.652370429672,HOLD
2019-11-03,9320.52,9361.62,9069.38,9203.46,34.509873,9924.864705442664,7224.881294557335,HOLD
2019-11-04,9199.9,9505.13,9119.48,9391.41,52.793238,10017.173978339828,7255.365021660173,HOLD
2019-11-05,9395.14,9454.72,9180.44,9301.49,54.873119,10078.596929380401,7324.5560706195965,HOLD
2019-11-06,9308.69,9429.6,9255.24,9346.85,34.746287,10137.935607659752,7392.601392340249,HOLD
2019-11-07,9342.01,9371.03,9115.87,9210.1,67.721284,10160.231409762639,7496.711590237364,HOLD
2019-11-08,9207.76,9253.18,8697.25,8781.14,142.738944,10140.554741129781,7598.89525887022,HOLD
2019-11-09,8773.61,8875.14,8729.97,8810.15,50.229502,10135.290488370385,7663.152511629615,HOLD
2019-11-10,8802.19,9137.31,8759.48,9039.3,85.368805,10135.744939550957,7746.625060449044,HOLD
2019-11-11,9044.51,9065.8,8624.44,8731.92,74.459175,10099.42494596135,7854.3650540386525,HOLD
2019-11-12,8712.08,8874.22,8600.0,8821.69,87.183872,9933.73097890436,8155.543021095638,HOLD
2019-11-13,8823.72,8841.26,8721.49,8791.21,161.907523,9616.98087259334,8609.867127406658,HOLD
2019-11-14,8791.22,8808.57,8598.33,8645.97,70.182731,9618.00979007555,8608.069209924448,HOLD
2019-11-15,8645.97,8783.3,8408.21,8473.65,94.894971,9648.009696662246,8502.253303337753,BUY
2019-11-16,8479.04,8535.98,8445.92,8495.01,68.057582,9609.19294240809,8437.48305759191,HOLD
2019-11-17,8495.01,8626.55,8420.0,8511.33,95.148871,9609.348617053336,8368.651382946664,HOLD
2019-11-18,8511.51,8511.51,8069.0,8186.59,71.17284,9608.710125043677,8247.105874956322,BUY
2019-11-19,8182.71,8208.97,8004.04,8133.77,83.997387,9631.088616621615,8122.605383378385,HOLD
2019-11-20,8134.49,8229.5,8046.64,8094.38,58.436428,9640.651847362387,8008.215152637612,HOLD
2019-11-21,8097.84,8132.71,7520.18,7634.12,195.157049,9688.620971407214,7800.618028592783,BUY
2019-11-22,7628.15,7721.84,6798.5,7282.49,205.231104,9748.48044430703,7540.122555692967,BUY
2019-11-23,7277.26,7343.76,7087.9,7314.92,30.163185,9764.149879236107,7335.599120763893,BUY
2019-11-24,7321.06,7334.4,6890.0,6905.31,143.180018,9771.652648954401,7079.486351045599,BUY
2019-11-25,6901.05,7369.92,6524.64,7121.63,179.918842,9713.367911475241,6919.785088524757,HOLD
2019-11-26,7114.36,7335.85,7031.09,7151.05,115.245337,9607.575055868087,6805.99794413191,HOLD
2019-11-27,7155.73,7648.1,6850.74,7515.75,102.011077,9473.98580662532,6770.152193374677,HOLD
2019-11-28,7506.5,7643.22,7365.12,7424.67,88.485575,9403.199576260198,6705.291423739801,HOLD
2019-11-29,7412.07,7855.0,7404.12,7737.13,91.680678,9309.79177547036,6691.397224529643,HOLD
2019-11-30,7737.98,7800.0,7414.0,7548.08,114.531438,9157.671509567344,6694.395490432655,HOLD
2019-12-01,7540.08,7542.65,7236.66,7396.18,77.402772,9053.126104169118,6665.366895830881,HOLD
2019-12-02,7405.58,7419.16,7162.23,7296.97,107.114703,8914.413289822887,6651.607710177112,HOLD
2019-12-03,7296.96,7399.97,7239.55,7281.25,58.636189,8758.384497112405,6656.640502887594,HOLD
2019-12-04,7284.86,7751.07,7082.46,7195.68,118.667835,8614.565531732254,6655.430468267748,HOLD
2019-12-05,7180.59,7480.67,7153.94,7381.97,113.534324,8485.826665769604,6675.0013342303955,HOLD
2019-12-06,7376.79,7597.04,7303.9,7529.99,76.723168,8334.453973801914,6729.872026198088,HOLD
2019-12-07,7542.59,7611.36,7472.23,7491.51,36.009011,8145.8880362320315,6816.4559637679695,HOLD
2019-12-08,7485.51,7562.68,7378.86,7509.15,32.269798,8028.584613627459,6866.015386372542,HOLD
2019-12-09,7511.64,7645.75,7276.66,7345.27,68.682337,7897.270843402888,6918.479156597112,HOLD
2019-12-10,7337.84,7405.29,7164.42,7227.39,59.576235,7744.326393862858,6984.724606137143,HOLD
2019-12-11,7230.5,7271.71,7139.23,7208.17,23.33556,7707.628266937369,6978.8277330626315,HOLD
2019-12-12,7210.16,7292.67,7087.23,7200.81,43.880735,7707.979457536319,6970.308542463681,HOLD
2019-12-13,7196.03,7302.72,7195.48,7253.02,24.308115,7706.680065719033,6965.417934280968,HOLD
2019-12-14,7254.49,7269.11,7013.56,7068.94,49.742195,7682.256927160697,7006.204072839304,HOLD
2019-12-15,7066.69,7196.62,7011.08,7121.19,32.087207,7682.292927223477,7006.124072776524,HOLD
2019-12-16,7123.79,7152.66,6850.0,6893.47,80.234618,7714.485608158317,6948.173391841687,BUY
2019-12-17,6891.13,6937.54,6564.89,6619.91,104.834435,7769.450190861431,6803.62480913857,BUY
2019-12-18,6626.58,7411.91,6438.08,7270.83,156.116394,7757.595149753426,6800.095850246575,HOLD
2019-12-19,7285.03,7366.95,7048.75,7147.99,76.642129,7681.996941354336,6816.780058645662,HOLD
2019-12-20,7156.13,7214.26,7082.3,7181.29,29.912234,7642.00991443838,6820.0880855616215,HOLD
2019-12-21,7188.86,7190.69,7118.0,7137.74,17.305598,7623.7236288371105,6812.530371162887,HOLD
2019-12-22,7137.36,7512.47,7127.42,7504.57,69.748961,7651.879557499928,6805.134442500073,HOLD
2019-12-23,7510.48,7689.98,7271.82,7321.46,139.129644,7655.252524733102,6805.782475266898,HOLD
2019-12-24,7312.63,7430.89,7166.3,7276.31,68.082751,7659.415437361235,6809.682562638764,HOLD
2019-12-25,7262.39,7272.13,7131.55,7200.1,31.498899,7645.0642214287,6805.846778571298,HOLD
2019-12-26,7205.02,7432.08,7164.33,7208.33,38.359558,7605.033000625259,6813.711999374742,HOLD
2019-12-27,7208.33,7273.96,7100.0,7249.98,56.297457,7571.960308916702,6822.631691083297,HOLD
2019-12-28,7253.94,7361.77,7250.22,7308.62,31.311032,7537.981981527291,6836.557018472708,HOLD
2019-12-29,7312.34,7526.48,7294.84,7391.07,25.926259,7544.935871554203,6834.183128445798,HOLD
2019-12-30,7357.28,7396.65,7227.31,7244.3,75.239284,7546.217564561781,6834.5924354382205,HOLD
2019-12-31,7240.76,7300.0,7146.0,7197.33,50.669991,7545.598685761256,6834.1273142387445,HOLD
2020-01-01,7180.46,7245.54,7175.62,7195.65,31.403883,7545.316037754005,6833.893962245996,HOLD
2020-01-02,7191.39,7210.05,6934.29,6961.8,67.004407,7542.817004251307,6807.270995748693,HOLD
2020-01-03,6958.14,7404.24,6877.78,7345.65,102.621386,7560.445063661423,6817.313936338577,HOLD
2020-01-04,7344.55,7403.98,7282.25,7349.45,32.271372,7576.829543642494,6823.755456357503,HOLD
2020-01-05,7363.88,7489.84,7332.96,7364.19,67.247638,7578.946566072438,6868.710433927559,HOLD
2020-01-06,7359.4,7796.86,7352.92,7777.53,142.311675,7599.642762649611,6963.776237350389,SELL
2020-01-07,7785.53,8198.98,7735.68,8174.34,242.896066,7829.132374806502,6824.637625193496,SELL
2020-01-08,8174.37,8456.12,7890.0,8051.97,186.162188,7957.600519268263,6786.567480731736,SELL
2020-01-09,8036.44,8036.44,7753.44,7824.32,116.171338,8014.4139397854615,6794.057060214538,HOLD
2020-01-10,7813.16,8195.0,7684.66,8195.0,189.003029,8144.119220132237,6770.077779867763,SELL
2020-01-11,8195.0,8290.0,8010.01,8026.42,79.694317,8213.70375216523,6752.678247834772,HOLD
2020-01-12,8010.01,8192.05,7968.79,8185.42,46.703006,8313.521989193068,6739.256010806932,HOLD
2020-01-13,8186.81,8186.81,8059.34,8102.27,71.026524,8384.12813532086,6751.245864679142,HOLD
2020-01-14,8110.96,8891.18,8110.96,8847.12,351.521336,8619.478611086626,6680.597388913376,SELL
2020-01-15,8808.88,8911.21,8579.47,8817.79,146.624295,8801.780918720771,6659.2410812792305,SELL
2020-01-16,8836.69,8857.99,8595.65,8730.0,95.196653,8935.585954515796,6673.438045484204,HOLD
2020-01-17,8729.99,9022.5,8673.1,8915.59,77.322512,9089.527198327383,6680.193801672618,HOLD
2020-01-18,8905.0,8988.76,8805.36,8917.29,51.104627,9223.05291364036,6699.290086359639,HOLD
2020-01-19,8913.69,9200.0,8493.57,8718.51,217.436897,9292.873701905855,6776.890298094144,HOLD
2020-01-20,8725.94,8741.97,8530.0,8644.33,44.186513,9330.1758803412,6884.288119658802,HOLD
2020-01-21,8650.15,8778.28,8503.31,8754.88,69.588088,9363.740482674422,7006.646517325577,HOLD
2020-01-22,8737.02,8819.92,8605.64,8670.36,37.871172,9323.009352937775,7218.233647062223,HOLD
2020-01-23,8671.0,8671.0,8305.5,8414.87,64.560013,9287.998964075066,7360.166035924934,HOLD
2020-01-24,8411.45,8524.11,8241.5,8451.96,82.696069,9233.765485312708,7524.650514687294,HOLD
2020-01-25,8440.25,8442.68,8277.21,8344.78,75.48201,9145.759400428811,7710.715599571187,HOLD
2020-01-26,8340.11,8612.12,8301.86,8612.12,57.451045,9125.673319600453,7814.260680399548,HOLD
2020-01-27,8613.88,9002.45,8584.04,8914.11,103.998546,9175.12592533995,7838.78507466005,HOLD
2020-01-28,8921.17,9402.37,8892.43,9380.14,143.799437,9308.142357721543,7838.58564227846,SELL
2020-01-29,9376.62,9445.67,9239.08,9300.85,140.356186,9362.544691865096,7931.836308134906,HOLD
2020-01-30,9300.42,9579.29,9205.0,9526.47,131.547022,9493.337431035177,7934.190568964822,SELL
2020-01-31,9513.19,9534.33,9213.32,9352.98,76.298925,9539.939474236742,8020.244525763259,HOLD
2020-02-01,9363.96,9462.65,9301.63,9388.81,61.245697,9592.76882379888,8087.754176201121,HOLD
2020-02-02,9384.73,9487.85,9157.15,9332.83,73.733713,9602.30570099677,8201.273299003227,HOLD
2020-02-03,9324.9,9600.0,9241.58,9299.8,103.261331,9645.366269442173,8203.480730557829,HOLD
2020-02-04,9299.53,9356.66,9100.0,9195.95,72.818585,9671.89145932452,8214.771540675476,HOLD
2020-02-05,9192.37,9747.48,9180.27,9610.31,125.859151,9763.826333584577,8210.867666415423,HOLD
2020-02-06,9625.0,9859.33,9535.38,9766.99,118.594015,9876.209008684913,8183.624991315086,HOLD
2020-02-07,9767.0,9880.32,9730.59,9815.0,114.263799,9985.23395083798,8164.371049162024,HOLD
2020-02-08,9821.51,9937.31,9668.84,9903.38,123.202272,10096.732617283082,8171.359382716918,HOLD
2020-02-09,9903.35,10174.27,9892.42,10153.53,132.3238,10240.958301280065,8178.053698719934,HOLD
2020-02-10,10165.0,10193.58,9767.62,9850.16,64.643096,10309.5680515623,8218.9719484377,HOLD
2020-02-11,9848.03,10325.27,9718.9,10228.72,131.651073,10430.236758366986,8254.139241633015,HOLD
2020-02-12,10230.93,10450.0,10230.64,10348.98,100.010641,10523.874871863562,8353.912128136439,HOLD
2020-02-13,10318.09,10490.0,10101.26,10217.13,154.524547,10562.694944210396,8491.609055789604,HOLD
2020-02-14,10237.42,10376.6,10116.94,10344.17,54.421371,10568.544124951692,8685.698875048307,HOLD
2020-02-15,10350.58,10373.47,9800.0,9898.96,77.415116,10515.144634864053,8867.782365135947,HOLD
2020-02-16,9908.62,10047.63,9649.72,9928.33,79.983205,10489.522909256977,8994.826090743021,HOLD
2020-02-17,9916.64,9952.62,9458.42,9708.77,127.362219,10487.618375982694,9029.593624017305,HOLD
2020-02-18,9698.24,10249.17,9593.22,10158.14,99.603428,10518.496967586054,9084.444032413945,HOLD
2020-02-19,10167.94,10512.0,9400.0,9601.99,122.651752,10517.217961149205,9093.275038850794,HOLD
2020-02-20,9588.19,9686.42,9410.02,9608.23,59.479937,10505.835968587257,9130.182031412744,HOLD
2020-02-21,9587.23,9761.24,9571.64,9670.0,42.660383,10495.283576013004,9168.853423986995,HOLD
2020-02-22,9675.78,9702.82,9558.25,9664.01,19.105039,10476.766299179715,9220.488700820286,HOLD
2020-02-23,9656.4,10002.98,9656.4,9949.57,34.398361,10457.42485227969,9304.807147720307,HOLD
2020-02-24,9945.64,9993.8,9487.44,9657.21,72.471237,10400.304563941161,9408.053436058839,HOLD
2020-02-25,9665.52,9669.54,9256.66,9319.74,70.055603,10434.020096008939,9345.28090399106,BUY
2020-02-26,9309.7,9372.65,8653.0,8790.39,127.025997,10565.711106353077,9115.929893646919,BUY
2020-02-27,8784.22,8967.12,8531.36,8802.94,87.447145,10644.927733678604,8935.507266321394,BUY
2020-02-28,8818.72,8900.32,8451.67,8694.33,113.603047,10706.260927682208,8753.269072317791,BUY
2020-02-29,8698.05,8787.36,8524.44,8528.54,30.989384,10734.70669719271,8562.324302807288,BUY
2020-03-01,8523.66,8746.82,8428.7,8545.65,62.480797,10765.628451882512,8400.951548117486,HOLD
2020-03-02,8525.48,8963.39,8502.03,8900.76,75.481934,10695.935213959498,8337.848786040506,HOLD
2020-03-03,8913.63,8919.44,8660.53,8758.86,99.933376,10595.5338743649,8279.2381256351,HOLD
2020-03-04,8765.54,8844.36,8672.76,8748.23,69.532432,10501.093973067364,8226.788026932638,HOLD
2020-03-05,8765.21,9152.18,8765.21,9062.79,94.383394,10349.951113011939,8249.79288698806,HOLD
2020-03-06,9051.95,9170.84,8993.59,9140.03,62.796637,10276.930427465351,8246.920572534647,HOLD
2020-03-07,9140.03,9199.13,8847.87,8886.71,77.674978,10188.98883220999,8230.700167790012,HOLD
2020-03-08,8885.47,8885.47,8003.84,8036.46,127.36534,10201.560726489992,8050.897273510008,BUY
2020-03-09,8036.65,8175.98,7642.21,7939.79,304.948987,10099.602509153423,7931.020490846577,HOLD
2020-03-10,7939.82,8140.35,7736.58,7888.99,146.684987,10083.448739629106,7775.874260370894,HOLD
2020-03-11,7880.0,7977.46,7597.21,7926.4,114.702022,10033.911347627,7657.228652373,HOLD
2020-03-12,7950.14,7956.4,4510.0,4824.58,2078.443533,10670.932758612962,6535.66524138704,BUY
2020-03-13,4814.78,5948.5,3649.04,5582.5,2402.633114,10788.479843620535,6009.967156379465,BUY
2020-03-14,5583.79,5626.0,5053.25,5169.45,183.878643,10822.100841101743,5498.3341588982585,BUY
2020-03-15,5172.68,5943.59,5101.05,5365.04,306.334772,10776.82814214283,5114.38985785717,HOLD
2020-03-16,5326.48,5361.94,4426.37,5023.0,525.896332,10757.629042693623,4703.914957306377,HOLD
2020-03-17,5018.11,5522.61,4950.17,5320.37,307.111606,10716.211117830026,4398.330882169971,HOLD
2020-03-18,5337.47,5437.71,5000.05,5390.21,567.576802,10625.666428144425,4147.602571855575,HOLD
2020-03-19,5394.56,6397.65,5252.01,6179.03,480.699799,10482.314627916816,4039.424372083182,HOLD
2020-03-20,6166.81,6904.12,5685.74,6205.0,542.741617,10342.393973207747,3946.9910267922514,HOLD
2020-03-21,6208.38,6451.84,5871.38,6165.0,349.50878,10182.880749817788,3868.4392501822094,HOLD
2020-03-22,6148.07,6403.69,5762.84,5818.52,382.082858,9947.46708587076,3795.6289141292414,HOLD
2020-03-23,5810.22,6586.88,5696.92,6481.71,325.910685,9711.912820303434,3803.468179696565,HOLD
