timestamp,symbol,action,price,reason,position_type
2025-06-30T18:31:34.829551+00:00,BTCUSDT,ENTER,107322.95,Strategy BUY signal,long
2025-06-30T18:36:35.748865+00:00,BTCUSDT,ENTER,107242.94,Strategy BUY signal,long
2025-06-30T18:41:36.681171+00:00,BTCUSDT,ENTER,107242.94,Strategy BUY signal,long
2025-06-30T19:30:18.063349+00:00,BTCUSDT,ENTER,107513.74,Strategy BUY signal,long
2025-06-30T19:35:19.097076+00:00,BTCUSDT,ENTER,107469.97,Strategy BUY signal,long
2025-06-30T19:40:20.507616+00:00,BTCUSDT,ENTER,107505.83,Strategy BUY signal,long
2025-06-30T19:45:22.194421+00:00,BTCUSDT,ENTER,107491.95,Strategy BUY signal,long
2025-06-30T19:50:23.545993+00:00,BTCUSDT,ENTER,107590.06,Strategy BUY signal,long
2025-06-30T19:55:24.926933+00:00,BTCUSDT,ENTER,107572.12,Strategy BUY signal,long
2025-06-30T20:00:26.028444+00:00,BTCUSDT,ENTER,107662.63,Strategy BUY signal,long
2025-06-30T20:05:27.230104+00:00,BTCUSDT,ENTER,107441.13,Strategy BUY signal,long
2025-06-30T20:10:28.512301+00:00,BTCUSDT,ENTER,107441.13,Strategy BUY signal,long
2025-06-30T20:15:29.970672+00:00,BTCUSDT,ENTER,107651.9,Strategy BUY signal,long
2025-06-30T20:20:31.022413+00:00,BTCUSDT,ENTER,107560.64,Strategy BUY signal,long
2025-06-30T20:25:32.428624+00:00,BTCUSDT,ENTER,107622.82,Strategy BUY signal,long
2025-06-30T20:48:11.940455+00:00,BTCUSDT,ENTER,107523.79,Strategy BUY signal,long
2025-06-30T20:53:13.079940+00:00,BTCUSDT,ENTER,107591.62,Strategy BUY signal,long
2025-06-30T20:58:14.234596+00:00,BTCUSDT,ENTER,107661.6,Strategy BUY signal,long
2025-06-30T21:03:15.373451+00:00,BTCUSDT,ENTER,107506.87,Strategy BUY signal,long
2025-06-30T21:08:16.445373+00:00,BTCUSDT,ENTER,107506.87,Strategy BUY signal,long
2025-06-30T21:45:15.806389+00:00,BTCUSDT,ENTER,107400.6,Strategy BUY signal,long
2025-06-30T21:50:16.962420+00:00,BTCUSDT,ENTER,107319.61,Strategy BUY signal,long
2025-06-30T21:55:18.095751+00:00,BTCUSDT,ENTER,107114.83,Strategy BUY signal,long
2025-06-30T22:00:19.263935+00:00,BTCUSDT,ENTER,107014.42,Strategy BUY signal,long
2025-06-30T22:05:20.372203+00:00,BTCUSDT,ENTER,107251.36,Strategy BUY signal,long
2025-06-30T22:45:48.164069+00:00,BTCUSDT,ENTER,107301.79,Strategy BUY signal,long
2025-06-30T23:00:39.571087+00:00,BTCUSDT,ENTER,107056.17,Strategy BUY signal,long
2025-06-30T23:23:05.506316+00:00,BTCUSDT,ENTER,107239.91,Strategy BUY signal,long
2025-06-30T23:28:06.656374+00:00,BTCUSDT,ENTER,107158.97,Strategy BUY signal,long
2025-06-30T23:33:07.781075+00:00,BTCUSDT,ENTER,107078.2,Strategy BUY signal,long
2025-06-30T23:38:09.170176+00:00,BTCUSDT,ENTER,107112.55,Strategy BUY signal,long
2025-06-30T23:43:10.824059+00:00,BTCUSDT,ENTER,107026.24,Strategy BUY signal,long
2025-06-30T23:48:13.276381+00:00,BTCUSDT,ENTER,107144.71,Strategy BUY signal,long
2025-06-30T23:53:15.632730+00:00,BTCUSDT,ENTER,107111.75,Strategy BUY signal,long
2025-06-30T23:58:18.143874+00:00,BTCUSDT,ENTER,107011.11,Strategy BUY signal,long
2025-07-01T00:03:20.393089+00:00,BTCUSDT,ENTER,107149.68,Strategy BUY signal,long
2025-07-01T00:08:22.457783+00:00,BTCUSDT,ENTER,107110.7,Strategy BUY signal,long
2025-07-01T00:48:17.883440+00:00,BTCUSDT,ENTER,107318.7,Strategy BUY signal,long
2025-07-01T00:53:19.985308+00:00,BTCUSDT,ENTER,107367.8,Strategy BUY signal,long
2025-07-01T00:53:21.953659+00:00,ETHUSDT,ENTER,2490.9,Strategy SELL signal,short
2025-07-01T00:58:24.023029+00:00,BTCUSDT,ENTER,107260.91,Strategy BUY signal,long
2025-07-01T00:58:25.881887+00:00,ETHUSDT,ENTER,2490.18,Strategy SELL signal,short
